person_id,belongs_to_groups,belongs_to_household,educational_involvement,lifetime_raised,first_degree,last_degree,multiple_degree,faculty,province,grad_year,event_count_all,event_count_5years,events_target_year
P000032,1,0,3,54.61,PhD,Cert,1,Science,BC,2018,9,11,8
P000033,1,1,0,143.5,MBA,MBA,0,Medicine,ON,2014,6,7,5
P000034,1,0,5,22.51,BComm,Cert,1,Science,BC,2023,14,11,7
P000035,1,0,5,189.09,PhD,PhD,0,Medicine,ON,1975,10,11,7
P000036,1,1,5,61.19,BComm,BComm,0,Arts,AB,1981,11,6,6
P000037,1,0,4,154.17,PhD,PhD,0,Business,BC,2007,17,8,6
P000038,1,1,2,27.33,MBA,MBA,0,Engineering,ON,2007,19,8,6
P000039,0,0,1,78.57,BComm,BComm,0,Science,BC,2021,12,5,4
P000040,1,1,5,158.36,BComm,BComm,0,Arts,AB,2017,15,11,9
P000041,0,1,2,65.23,BComm,BSc,1,Science,ON,1991,12,10,8
P000042,0,0,1,18.3,MEng,MEng,0,Business,AB,2007,10,6,5
P000043,1,0,3,45.66,MA,MA,0,Engineering,AB,1984,15,8,8
P000044,0,0,2,91.41,BSc,BSc,0,Medicine,ON,1982,9,5,4
P000045,1,0,0,19.37,MEng,MA,1,Arts,ON,1975,13,5,4
P000046,1,1,2,18.68,MBA,BSc,1,Engineering,BC,1989,14,9,7
P000047,0,1,0,71.85,Cert,Cert,0,Science,BC,2017,11,1,1
P000048,0,0,1,27.76,BA,BA,0,Business,Other,1985,10,3,1
P000049,0,0,5,102.71,BComm,BComm,0,Engineering,Other,2003,12,8,6
P000050,0,1,2,23.18,BSc,MA,1,Arts,BC,2011,9,9,6
P000051,0,1,1,13.65,PhD,PhD,0,Medicine,Other,1978,5,7,3
P000052,1,0,4,31.93,BA,BComm,1,Business,ON,2012,22,7,7
P000053,1,0,3,196.9,PhD,PhD,0,Engineering,BC,1977,12,11,9
P000054,0,0,0,29.78,BComm,BComm,0,Medicine,BC,1992,3,0,0
P000055,1,0,0,59.24,Cert,Cert,0,Medicine,BC,1988,16,5,4
P000056,1,1,2,72.52,BSc,BSc,0,Engineering,BC,1991,18,10,9
P000057,1,1,2,27.79,PhD,PhD,0,Engineering,BC,2021,14,8,6
P000058,1,0,3,142.78,BSc,BSc,0,Engineering,BC,2022,10,6,6
P000059,0,0,3,68.61,MBA,BA,1,Engineering,BC,2007,11,9,8
P000060,1,0,1,85.08,MA,MA,0,Engineering,Other,2023,13,3,3
P000061,0,1,3,15.46,BComm,PhD,1,Arts,BC,2022,14,10,6
P000062,0,0,3,14.64,BComm,BSc,1,Arts,AB,2016,14,7,6
P000063,0,1,1,6.54,BSc,BSc,0,Medicine,BC,2001,8,4,4
P000064,0,1,1,51.15,BComm,BComm,0,Engineering,ON,1995,14,10,6
P000065,1,1,4,49.56,BA,BSc,1,Business,BC,2014,12,8,6
P000066,0,0,3,106.35,BComm,BComm,0,Science,ON,2006,15,3,3
P000067,0,0,4,195.92,BComm,BComm,0,Engineering,AB,2020,16,7,6
P000068,0,0,3,48.62,PhD,MA,1,Medicine,BC,1978,14,10,6
P000069,1,1,2,48.04,MEng,MEng,0,Business,ON,1976,14,12,9
P000070,1,0,4,85.5,BSc,BSc,0,Business,AB,2013,17,8,7
P000071,1,1,0,202.91,Cert,MBA,1,Business,BC,2014,18,8,7
P000072,0,0,5,30.81,BComm,BComm,0,Arts,Other,1991,19,10,9
P000073,1,1,4,98.42,Cert,BA,1,Engineering,Other,1978,13,9,9
P000074,0,0,5,48.91,MA,MBA,1,Engineering,ON,1980,17,10,6
P000075,0,1,0,45.6,BSc,BSc,0,Medicine,BC,1997,5,3,2
P000076,0,0,3,114.55,Cert,BA,1,Science,ON,2002,11,8,4
P000077,1,0,3,31.65,BSc,BSc,0,Science,ON,2018,6,9,6
P000078,1,1,1,25.34,BComm,BSc,1,Science,BC,1995,9,11,7
P000079,1,1,3,101.63,BComm,BA,1,Engineering,BC,2023,12,7,7
P000080,0,0,1,58.45,MA,MA,0,Engineering,BC,1980,17,2,2
P000081,1,0,3,48.3,BA,MA,1,Arts,BC,2000,14,10,8
P000082,0,0,4,53.61,BA,BA,0,Business,BC,1981,15,9,6
P000083,1,1,5,88.81,PhD,PhD,0,Science,BC,1975,17,10,9
P000084,1,1,4,44.36,Cert,MBA,1,Medicine,ON,2019,14,6,6
P000085,0,0,2,110.15,BSc,MBA,1,Engineering,AB,2015,14,5,3
P000086,1,0,4,83.14,BSc,BSc,0,Arts,AB,1999,20,10,6
P000087,1,1,3,195.53,MBA,BA,1,Arts,Other,2010,19,9,6
P000088,1,1,5,164.47,BSc,MBA,1,Arts,QC,1986,15,11,7
P000089,1,0,4,118.58,Cert,Cert,0,Engineering,BC,2007,18,9,9
P000090,1,1,3,50.75,MBA,MEng,1,Business,BC,1986,20,9,8
P000091,0,1,3,65.63,BA,BA,0,Medicine,ON,1998,22,6,6
P000092,1,0,5,37.14,BComm,MBA,1,Science,ON,2007,12,12,8
P000093,0,0,5,585.53,Cert,Cert,0,Science,AB,1983,18,9,7
P000094,0,0,3,50.01,BSc,Cert,1,Arts,BC,2011,11,10,6
P000095,0,1,0,93.21,Cert,Cert,0,Business,ON,1975,15,4,1
P000096,1,1,3,177.33,Cert,BA,1,Arts,AB,1978,18,9,6
P000097,1,1,3,20.07,BSc,MA,1,Engineering,ON,2003,9,7,6
P000098,1,1,5,30.85,BA,BA,0,Engineering,QC,1977,9,11,7
P000099,1,0,4,43.56,MA,BSc,1,Business,BC,2018,15,10,8
P000100,1,1,3,26.96,BComm,BSc,1,Science,BC,1993,22,12,9
P000101,1,0,1,21.66,BComm,BComm,0,Business,BC,1977,23,13,9
P000102,0,1,4,39.53,BComm,BComm,0,Arts,BC,1996,14,13,9
P000103,1,0,0,168.27,MBA,MBA,0,Business,AB,1998,20,9,5
P000104,1,1,5,106.79,MA,BA,1,Arts,BC,1992,14,8,6
P000105,0,1,1,61.52,MEng,MEng,0,Business,BC,1979,8,4,4
P000106,0,1,2,61.2,Cert,Cert,0,Business,ON,2017,5,8,4
P000107,1,1,3,15.83,BComm,BComm,0,Medicine,BC,2023,14,10,7
P000108,0,1,4,104.51,MA,MA,0,Arts,QC,1978,16,10,9
P000109,1,0,0,84.18,MA,MBA,1,Engineering,ON,1985,13,8,4
P000110,0,0,1,25.18,MA,MA,0,Business,BC,1998,17,4,3
P000111,0,0,2,70.66,MBA,MBA,0,Arts,ON,1985,20,7,5
P000112,0,0,2,51.32,BComm,BComm,0,Arts,AB,2011,18,5,2
P000113,0,0,2,39.55,BSc,BSc,0,Business,ON,1985,13,7,3
P000114,1,0,5,27.14,BA,BA,0,Business,ON,1975,21,11,7
P000115,0,1,3,34.88,Cert,MA,1,Medicine,Other,2007,20,7,6
P000116,0,1,5,28.17,MA,Cert,1,Arts,ON,2004,12,10,7
P000117,1,1,4,86.66,Cert,Cert,0,Science,QC,1989,14,8,7
P000118,1,1,5,80.25,MBA,BComm,1,Business,BC,2002,14,10,9
P000119,0,1,3,77.55,BComm,BComm,0,Business,ON,1992,18,7,7
P000120,1,1,4,51.79,MA,MA,0,Science,BC,1984,14,12,8
P000121,0,0,3,43.24,BSc,BSc,0,Business,QC,2014,11,4,4
P000122,1,0,5,307.24,MEng,MEng,0,Medicine,Other,2005,18,9,6
P000123,0,0,1,13.51,BSc,BSc,0,Business,BC,1983,15,5,1
P000124,1,1,5,156.16,MBA,MBA,0,Engineering,Other,1986,6,9,6
P000125,1,1,2,79.56,BComm,MA,1,Engineering,AB,1991,10,9,8
P000126,1,0,3,63.37,Cert,Cert,0,Engineering,BC,2018,16,9,7
P000127,1,1,1,39.9,BA,BA,0,Arts,BC,1988,14,5,4
P000128,0,0,1,50.33,Cert,Cert,0,Medicine,QC,2012,6,2,1
P000129,1,0,2,23.22,Cert,Cert,0,Medicine,ON,2017,17,9,6
P000130,0,1,0,19.76,MBA,MBA,0,Engineering,ON,1988,11,6,4
P000131,0,0,5,54.85,BComm,MA,1,Arts,Other,2021,19,11,8
P000132,0,0,4,15.94,BSc,BComm,1,Engineering,QC,2012,22,10,7
P000133,0,1,3,117.41,MBA,PhD,1,Arts,ON,1980,17,7,7
P000134,0,0,4,146.38,BA,BA,0,Medicine,ON,2017,11,9,6
P000135,1,1,4,3.83,BComm,BComm,0,Business,ON,2003,11,11,9
P000136,0,1,4,17.32,Cert,Cert,0,Science,BC,1980,10,10,8
P000137,0,0,2,74.6,MEng,MEng,0,Arts,BC,2000,4,1,1
P000138,1,1,3,71.1,MBA,MBA,0,Science,BC,2010,19,9,9
P000139,1,0,0,65.62,BComm,MBA,1,Arts,ON,2024,13,9,5
P000140,0,1,3,84.13,MBA,MBA,0,Medicine,Other,1997,20,10,8
P000141,0,1,0,109.1,PhD,PhD,0,Arts,AB,2011,11,2,2
P000142,1,0,4,120.05,BA,BA,0,Business,BC,2019,18,11,8
P000143,0,1,4,251.47,Cert,Cert,0,Medicine,BC,1982,14,10,6
P000144,0,1,3,61.37,BA,BA,0,Medicine,AB,2014,14,10,6
P000145,0,0,1,119.9,BComm,BA,1,Science,BC,2024,7,5,5
P000146,1,1,3,16.4,MA,BComm,1,Medicine,ON,2018,17,8,6
P000147,0,0,1,54.1,BA,MA,1,Business,BC,2009,11,6,5
P000148,1,0,1,22.66,Cert,Cert,0,Science,AB,1982,9,9,5
P000149,1,1,4,183.28,BA,BA,0,Science,BC,1993,13,8,8
P000150,0,0,3,389.4,BComm,BComm,0,Medicine,QC,1992,20,7,7
P000151,1,0,0,92.76,MEng,MA,1,Arts,ON,2022,7,4,3
P000152,1,1,3,21.25,BComm,PhD,1,Engineering,BC,2013,15,6,6
P000153,0,1,4,54.98,BComm,BComm,0,Arts,QC,2015,15,6,6
P000154,1,0,3,61.6,MEng,MEng,0,Science,ON,2009,15,13,9
P000155,1,1,2,70.54,MA,BComm,1,Medicine,AB,2017,10,10,7
P000156,1,0,1,143.86,MBA,Cert,1,Business,Other,1984,10,6,6
P000157,1,1,0,129.15,PhD,PhD,0,Science,ON,2003,19,11,9
P000158,1,1,0,7.23,BComm,BComm,0,Science,AB,1991,13,6,5
P000159,0,1,4,179.69,PhD,PhD,0,Business,QC,1976,22,6,6
P000160,0,0,3,40.49,BSc,BSc,0,Arts,BC,1979,19,5,5
P000161,1,1,4,38.51,Cert,Cert,0,Medicine,BC,2002,17,6,6
P000162,0,0,0,187.11,BComm,MBA,1,Science,QC,1987,9,2,1
P000163,1,0,3,48.66,MBA,MBA,0,Medicine,BC,2010,13,9,8
P000164,1,0,4,20.13,BComm,BComm,0,Business,ON,1995,16,10,9
P000165,0,0,1,20.87,BComm,BComm,0,Arts,AB,2000,11,4,2
P000166,1,1,1,63.11,BSc,PhD,1,Science,AB,1993,24,10,9
P000167,0,0,3,124.56,MBA,MBA,0,Science,BC,1979,15,3,3
P000168,0,1,4,200.27,MBA,BSc,1,Medicine,ON,1979,12,8,8
P000169,0,1,5,52.58,BA,BA,0,Medicine,ON,1984,24,11,9
P000170,1,0,2,41.44,BA,MBA,1,Medicine,ON,1988,14,7,6
P000171,1,0,1,220.86,Cert,PhD,1,Arts,ON,2022,13,7,7
P000172,1,1,5,41.81,BComm,BComm,0,Engineering,BC,2007,11,7,7
P000173,1,0,3,193.58,BSc,BSc,0,Arts,BC,1997,14,6,6
P000174,1,0,1,72.74,PhD,BSc,1,Business,BC,1985,11,9,7
P000175,0,0,0,72.91,MA,MBA,1,Science,ON,2010,10,6,4
P000176,0,1,0,49.96,MBA,PhD,1,Engineering,ON,2006,9,6,5
P000177,1,0,5,76.47,BComm,BComm,0,Engineering,BC,1988,21,9,8
P000178,0,0,4,41.6,BA,BA,0,Business,BC,2021,10,6,6
P000179,0,1,4,35.03,Cert,Cert,0,Business,BC,1977,12,6,6
P000180,0,1,4,54.13,MBA,MEng,1,Medicine,QC,2008,15,8,6
P000181,1,1,3,35.85,BA,BA,0,Arts,BC,1982,23,10,9
P000182,0,1,2,76.94,Cert,MBA,1,Medicine,ON,2011,16,12,8
P000183,1,0,1,64.58,PhD,Cert,1,Business,BC,1998,16,8,7
P000184,1,1,2,48.91,MA,BA,1,Medicine,ON,2023,22,9,6
P000185,1,1,4,51.42,BA,BA,0,Medicine,BC,1998,19,9,7
P000186,0,0,3,50.24,BSc,BSc,0,Arts,BC,2018,17,6,4
P000187,1,1,2,242.46,PhD,PhD,0,Medicine,BC,2000,18,11,8
P000188,1,0,1,59.88,BA,BA,0,Business,BC,1995,12,4,3
P000189,0,0,4,37.51,Cert,Cert,0,Science,BC,1976,17,12,9
P000190,0,1,2,47.61,BSc,BSc,0,Medicine,ON,1984,11,3,3
P000191,0,0,0,102.46,MBA,MBA,0,Arts,BC,1993,13,0,0
P000192,1,1,3,51.38,MA,Cert,1,Business,QC,2019,20,9,9
P000193,0,1,0,53.46,BComm,BA,1,Business,BC,1994,12,9,5
P000194,0,0,1,49.13,MEng,MEng,0,Engineering,AB,1988,11,1,1
P000195,1,0,1,68.8,MEng,Cert,1,Medicine,BC,1992,18,9,7
P000196,0,0,0,82.42,BComm,MEng,1,Arts,BC,1995,12,6,5
P000197,1,0,3,85.99,BComm,BComm,0,Medicine,BC,1999,10,8,6
P000198,0,0,5,16.3,BComm,BComm,0,Business,QC,1990,14,7,6
P000199,1,1,1,25.68,BSc,BSc,0,Arts,AB,1990,17,7,6
P000200,0,1,0,7.37,MEng,BA,1,Engineering,BC,1998,4,7,3
P000201,0,0,1,114.43,BComm,BComm,0,Engineering,BC,2002,17,2,2
P000202,1,0,5,146.24,MBA,MBA,0,Engineering,BC,2015,14,10,7
P000203,0,0,4,170.51,BComm,BComm,0,Business,BC,1999,9,10,6
P000204,1,0,5,67.61,PhD,MBA,1,Medicine,AB,1998,11,10,8
P000205,1,1,1,151.05,BComm,BComm,0,Medicine,BC,2015,15,9,9
P000206,0,0,2,58.51,BComm,BComm,0,Engineering,ON,2020,9,6,2
P000207,0,0,0,54.72,MEng,MEng,0,Business,ON,2024,17,3,2
P000208,1,1,5,17.58,BSc,BSc,0,Medicine,Other,2003,14,6,6
P000209,0,1,3,32.24,Cert,BComm,1,Business,BC,1981,21,10,8
P000210,1,0,0,37.54,BSc,BComm,1,Engineering,BC,1997,13,6,4
P000211,1,0,4,125.59,MA,MA,0,Medicine,BC,1989,22,11,9
P000212,0,1,3,226.99,BSc,BSc,0,Arts,ON,2010,20,9,7
P000213,0,0,0,41.43,MBA,MBA,0,Engineering,BC,1999,11,3,1
P000214,1,1,2,81.17,BSc,PhD,1,Medicine,BC,1980,17,10,9
P000215,0,1,3,75.13,MA,MA,0,Business,ON,2010,15,7,6
P000216,1,0,1,32.47,BComm,BSc,1,Engineering,BC,2019,21,13,9
P000217,1,0,1,15.22,PhD,PhD,0,Medicine,ON,2024,9,5,5
P000218,0,1,5,33.0,MEng,MEng,0,Business,BC,2010,21,9,9
P000219,1,1,5,19.1,MA,MA,0,Medicine,BC,2013,14,9,7
P000220,1,0,0,46.8,BComm,BComm,0,Arts,Other,2023,16,7,3
P000221,1,0,0,53.78,MA,MEng,1,Medicine,BC,2009,16,8,5
P000222,1,1,5,52.11,MBA,MBA,0,Business,AB,1985,9,8,8
P000223,1,1,1,52.64,MA,MA,0,Engineering,BC,1988,18,8,8
P000224,1,0,0,88.59,MBA,MBA,0,Arts,BC,1978,8,5,4
P000225,1,0,2,28.59,Cert,Cert,0,Business,ON,2006,20,9,9
P000226,0,0,4,122.39,PhD,PhD,0,Medicine,BC,1991,10,12,8
P000227,0,0,2,15.83,MBA,MEng,1,Engineering,BC,2022,6,6,3
P000228,1,1,1,63.25,Cert,Cert,0,Arts,Other,1976,20,10,9
P000229,0,1,2,82.08,MBA,MBA,0,Engineering,BC,1989,12,7,7
P000230,0,0,3,31.96,BSc,Cert,1,Engineering,QC,2002,10,9,9
P000231,1,0,2,16.83,Cert,Cert,0,Arts,BC,2001,11,11,7
P000232,1,0,5,100.15,BA,BA,0,Science,ON,1980,13,7,7
P000233,1,0,4,35.11,MA,MA,0,Science,ON,1984,17,8,7
P000234,1,1,4,112.27,MBA,MBA,0,Business,BC,1999,10,6,6
P000235,1,1,1,111.07,Cert,Cert,0,Medicine,BC,2004,20,12,8
P000236,0,0,0,59.84,BComm,MA,1,Science,ON,1976,5,1,1
P000237,1,0,5,60.04,BA,BA,0,Engineering,BC,1999,18,7,7
P000238,0,0,1,132.25,Cert,Cert,0,Science,BC,2006,9,2,1
P000239,1,0,3,81.19,MEng,MEng,0,Business,BC,1999,11,12,8
P000240,1,1,2,28.53,BA,BA,0,Medicine,QC,2001,19,8,6
P000241,1,0,3,68.72,MA,MA,0,Science,AB,1984,20,10,7
P000242,0,1,4,93.52,MBA,MBA,0,Science,Other,2007,10,12,9
P000243,1,1,0,70.66,MBA,MEng,1,Medicine,BC,2019,10,9,6
P000244,1,0,0,69.91,BComm,BComm,0,Engineering,ON,2009,12,5,5
P000245,0,0,4,53.44,BComm,BComm,0,Medicine,BC,1995,14,10,6
P000246,1,0,5,54.68,Cert,Cert,0,Engineering,AB,2019,19,10,6
P000247,1,0,4,28.51,MEng,MEng,0,Medicine,BC,1998,18,8,7
P000248,1,1,5,19.2,Cert,Cert,0,Medicine,QC,2015,19,7,7
P000249,0,1,0,147.47,MBA,BComm,1,Medicine,ON,1994,8,6,4
P000250,1,0,5,36.18,BA,BA,0,Arts,BC,2020,19,9,9
P000251,0,1,1,71.75,BComm,BComm,0,Engineering,BC,1999,7,5,4
P000252,0,1,1,18.17,MBA,MEng,1,Medicine,ON,1996,17,7,4
P000253,0,1,4,68.19,MA,MA,0,Engineering,Other,2024,13,12,8
P000254,0,1,1,31.08,Cert,Cert,0,Arts,QC,2010,8,7,4
P000255,1,0,3,639.44,BSc,BSc,0,Arts,ON,2011,9,6,6
P000256,0,1,4,26.7,BA,BA,0,Arts,BC,1993,14,6,6
P000257,0,0,5,27.85,BA,BA,0,Science,ON,1997,9,9,8
P000258,0,1,3,127.34,Cert,MEng,1,Science,AB,2012,13,11,8
P000259,0,0,2,148.65,MEng,MEng,0,Business,AB,1996,8,5,5
P000260,0,0,1,11.23,MBA,MBA,0,Medicine,BC,1976,8,3,2
P000261,0,0,1,73.6,Cert,Cert,0,Medicine,AB,1977,10,3,2
P000262,1,0,0,120.92,MA,Cert,1,Science,AB,2001,6,5,3
P000263,1,1,2,22.68,MBA,BA,1,Engineering,BC,2005,11,10,9
P000264,1,1,1,103.52,MA,MA,0,Science,BC,1989,15,8,8
P000265,1,1,3,39.48,MEng,BSc,1,Science,AB,1998,11,10,6
P000266,0,1,4,27.14,MA,MA,0,Business,BC,1985,21,13,9
P000267,0,0,1,45.44,BSc,BSc,0,Medicine,QC,1991,9,2,1
P000268,0,0,4,41.6,MA,BSc,1,Business,ON,2016,13,10,6
P000269,0,1,5,19.88,BComm,BComm,0,Science,ON,1995,17,10,8
P000270,1,1,2,356.07,BComm,BComm,0,Medicine,ON,1999,20,8,8
P000271,0,0,3,41.81,MBA,MBA,0,Science,BC,1976,6,6,4
P000272,0,1,5,33.16,MA,PhD,1,Engineering,BC,1981,18,8,6
P000273,0,0,0,118.44,BA,BA,0,Engineering,AB,1983,7,1,0
P000274,1,1,3,56.68,Cert,Cert,0,Science,ON,1986,15,11,7
P000275,0,1,1,173.4,BSc,MBA,1,Science,QC,2023,17,9,8
P000276,1,0,3,48.55,MEng,BSc,1,Engineering,AB,2013,12,12,8
P000277,1,0,1,79.39,Cert,Cert,0,Engineering,BC,2001,16,6,5
P000278,1,0,2,64.65,MA,MA,0,Medicine,BC,2024,14,9,7
P000279,1,0,0,68.54,MEng,MEng,0,Science,ON,2022,13,5,4
P000280,1,0,2,50.88,BA,BA,0,Engineering,BC,2002,8,7,6
P000281,1,0,4,55.26,BComm,MEng,1,Medicine,BC,2012,12,7,7
P000282,1,0,2,227.44,MBA,MBA,0,Business,BC,2017,13,11,9
P000283,1,0,1,34.96,MEng,MA,1,Business,BC,1994,23,12,8
P000284,1,0,4,38.89,MEng,MA,1,Engineering,ON,2017,14,10,7
P000285,1,1,0,45.69,BSc,BSc,0,Science,BC,1975,22,11,8
P000286,0,1,2,94.44,BComm,BComm,0,Engineering,ON,2021,12,3,3
P000287,1,0,1,82.55,Cert,BSc,1,Business,BC,1980,16,13,9
P000288,1,0,1,126.16,MEng,MEng,0,Science,AB,2024,18,9,6
P000289,0,0,5,20.71,MA,Cert,1,Medicine,QC,2003,13,13,9
P000290,0,0,2,73.75,BComm,BComm,0,Science,ON,2003,4,7,4
P000291,1,0,5,52.19,MBA,MBA,0,Business,BC,1986,16,12,9
P000292,1,1,5,47.82,MBA,MBA,0,Arts,ON,1986,9,9,9
P000293,0,0,3,68.37,BComm,BComm,0,Science,ON,2019,8,7,7
P000294,0,0,3,12.58,BA,BA,0,Business,BC,1991,9,9,5
P000295,0,0,4,74.56,BComm,BComm,0,Engineering,AB,1992,15,12,8
P000296,0,1,0,67.32,MEng,MEng,0,Medicine,BC,2017,11,7,5
P000297,0,1,3,19.32,Cert,Cert,0,Science,ON,2024,14,10,9
P000298,1,1,2,55.66,MEng,MEng,0,Medicine,BC,2002,11,7,6
P000299,1,1,3,205.25,BA,BA,0,Medicine,BC,1988,18,13,9
P000300,1,1,2,44.12,PhD,PhD,0,Science,BC,1998,13,9,8
P000301,1,1,5,96.09,MBA,MBA,0,Business,BC,2003,17,10,8
P000302,0,0,0,50.2,PhD,PhD,0,Science,ON,2000,4,0,0
P000303,1,0,4,31.54,MEng,MEng,0,Arts,BC,2009,10,8,7
P000304,1,1,5,28.92,BComm,BComm,0,Medicine,ON,2015,10,10,7
P000305,1,0,5,43.8,BSc,BSc,0,Business,BC,2003,20,11,7
P000306,1,0,5,168.34,BA,BA,0,Arts,ON,1984,16,10,6
P000307,0,1,1,114.68,BA,BA,0,Medicine,BC,1992,11,4,3
P000308,1,0,0,34.3,BComm,BComm,0,Business,ON,2007,9,9,5
P000309,0,0,1,132.5,MA,PhD,1,Medicine,Other,1999,11,4,3
P000310,1,1,3,54.25,MBA,MBA,0,Arts,BC,1982,13,6,6
P000311,1,0,0,34.72,BA,BComm,1,Arts,ON,2008,13,7,5
P000312,1,0,1,84.45,MA,MA,0,Arts,QC,1999,16,7,3
P000313,0,1,0,29.15,BSc,BSc,0,Science,Other,2005,6,4,1
P000314,0,0,1,17.3,BComm,BComm,0,Science,ON,2017,3,3,1
P000315,1,0,3,167.44,PhD,PhD,0,Science,ON,1996,15,12,9
P000316,0,1,1,14.12,PhD,PhD,0,Arts,AB,2012,12,3,3
P000317,1,1,3,92.24,MBA,MBA,0,Business,BC,1992,12,8,7
P000318,0,0,0,17.95,MEng,MEng,0,Medicine,ON,2008,11,3,2
P000319,0,0,4,58.68,MBA,MEng,1,Science,AB,2001,9,9,6
P000320,0,0,4,51.35,BA,BA,0,Business,ON,1984,15,8,7
P000321,0,1,3,42.41,BComm,Cert,1,Science,BC,2001,12,10,7
P000322,0,1,2,10.64,MEng,Cert,1,Medicine,AB,2004,13,9,7
P000323,0,0,5,55.12,BA,BA,0,Science,BC,1975,11,8,8
P000324,1,0,4,58.35,MA,MA,0,Arts,QC,2010,20,8,8
P000325,1,1,1,29.53,BA,BA,0,Engineering,BC,1993,16,7,7
P000326,1,0,4,56.95,BSc,PhD,1,Science,ON,2018,8,9,6
P000327,1,0,5,131.85,Cert,MA,1,Business,ON,2008,8,11,7
P000328,0,1,3,34.05,BComm,BComm,0,Science,AB,1976,11,6,6
P000329,1,1,2,73.67,BA,BA,0,Engineering,ON,1988,17,8,6
P000330,1,0,2,24.21,MA,MA,0,Business,ON,1983,18,8,7
P000331,1,1,1,81.34,BSc,BSc,0,Arts,Other,2004,13,9,7
P000332,0,0,0,99.71,Cert,PhD,1,Science,BC,1978,13,1,1
P000333,0,0,0,427.38,BComm,PhD,1,Medicine,ON,1978,9,5,5
P000334,1,1,3,123.05,BComm,Cert,1,Business,QC,1988,15,9,6
P000335,0,0,3,84.71,MA,MA,0,Arts,QC,1989,13,3,3
P000336,1,0,4,183.19,BComm,BComm,0,Business,BC,1991,12,13,9
P000337,0,0,5,27.43,BA,BA,0,Arts,Other,2014,10,11,8
P000338,0,1,4,140.37,BA,BA,0,Business,BC,1996,17,12,9
P000339,0,1,1,39.14,BSc,BSc,0,Engineering,ON,2004,13,5,3
P000340,1,1,0,36.92,Cert,Cert,0,Arts,AB,2002,16,8,5
P000341,1,0,2,143.03,MBA,PhD,1,Science,ON,1996,16,10,9
P000342,0,1,0,72.46,MA,MA,0,Medicine,BC,1990,6,5,1
P000343,0,1,3,171.58,BComm,BComm,0,Medicine,ON,2017,18,9,7
P000344,1,0,5,19.2,MBA,MBA,0,Engineering,BC,1981,15,9,7
P000345,0,0,4,74.73,BA,PhD,1,Science,Other,1980,14,11,7
P000346,1,0,3,39.82,BA,BA,0,Science,AB,2000,7,11,7
P000347,0,1,4,48.72,BA,BA,0,Arts,ON,1979,8,7,7
P000348,0,1,0,13.4,BSc,BA,1,Arts,AB,2023,10,8,4
P000349,1,1,2,126.35,MA,MA,0,Medicine,ON,1986,18,11,7
P000350,0,1,4,71.23,BComm,MA,1,Engineering,BC,1990,20,11,8
